Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
Star Trek: The Next Generation (STTNG);Vor dem Abschuss mit der Kanone möglichst Bonus X oder Warp anwählen und treffen.;1. Den rechten Orbit (ganz rechts außen) treffen – dadurch leuchtet LOCK. 2. Den rechten Orbit erneut spielen und den Ball im Borg-Schiff locken. 3. Insgesamt 3 Bälle locken. 4. Nach dem dritten Lock startet der Borg Multiball. 5. Sofort mit der linken Kanone dreimal auf Start Mission schießen. 6. Danach die linke Rampe für Triple Jackpots spielen.;Keine Moduswahl – Borg Multiball priorisieren.;Start Mission (Mitte) erst im Multiball mit der linken Kanone.;Den rechten Orbit treffen, bis LOCK leuchtet. Insgesamt 3 Locks.;Rechter Orbit zum Borg-Schiff (der linke Rampen-Lock funktioniert nur für Lock 1 und 2).;Startet automatisch nach dem 3. Lock.;🔘 Fire-Button: Immer drücken, wenn die Kanone geladen ist. Für Skillshot, Start Mission, Jackpot- oder Borg-Schüsse möglichst präzise einsetzen.;Sind die Locks noch weit entfernt, lieber sichere Orbit-Schüsse spielen und Risiken an den Outlanes vermeiden.;Rechter Orbit – STTNG hat extrem gefährliche Outlanes.;Direkt nach Multiballbeginn zuerst die drei Kanonenschüsse auf Start Mission machen, danach die linke Rampe für Triple Jackpots.
Rush Pro;Den Ball nach dem Abschuss durch die blinkende obere Skillshot-Lane oder – je nach Anzeige – durch die Instrument-Lane (schmale Bahn hinter den Drop-Targets links) spielen.;1. Die beiden LITE/LOCK-Targets (rechts neben der rechten Rampe) treffen. 2. Rechte Rampe schießen. 3. Ball in den blinkenden Side Scoop locken. 4. Zweiten Lock genauso aufbauen. 5. Danach erneut den leuchtenden Side Scoop treffen – Far Cry Multiball startet.;Keine Moduswahl – Far Cry Multiball priorisieren.;–;Für jeden Lock zuerst beide LITE/LOCK-Targets treffen und anschließend die rechte Rampe schießen.;Side Scoop (links oben oder rechts oben – je nach blinkender LOCK-Lampe).;Nach dem 2. Lock den leuchtenden Side Scoop treffen.;🔘 Action-Button (Time Machine): Drücken, wenn Time Machine geladen ist. Am besten während eines laufenden Modus oder Multiballs, um Zeit zu verlängern bzw. wertvolle Phasen auszunutzen.;Ist der Lock noch weit entfernt, lieber sichere Rampen spielen und Instrumente nebenbei sammeln.;LITE/LOCK-Targets – harte Rückpraller laufen häufig Richtung rechte Outlane.;Far Cry Multiball ist meist der schnellste Weg. Die Time Machine möglichst nicht verschwenden, sondern für Multiball oder wertvolle Modi aufheben.
Taxi;Den Ball nach dem Abschuss in den SPINOUT (oben links) schießen. Idealerweise bei 25.000 + Passagier oder 50.000–100.000 Punkten stoppen.;1. Alle 5 Passagiere einsammeln: Pinbot (linke Rampe), Lola (linke Rampe), Gorby (rechte Rampe), Santa (Drop-Targets links), Dracula (Loch rechts). 2. Sind alle Passagiere eingesammelt, leuchtet der Jackpot. 3. Den Joyride (Loch rechts) treffen.;Keine Moduswahl vorhanden.;–;Kein Qualifizieren nötig – der Lock ist jederzeit verfügbar.;Express Lock (Loch rechts neben Dracula).;Nach einem gelockten Ball mit dem nächsten Ball die linke Rampe treffen.;–;Ist der Jackpot fast bereit, lieber weiter Passagiere einsammeln statt auf Multiball spielen.;Linke Rampe – Fehlschüsse rollen oft gefährlich auf den rechten Flipper zurück.;Passagiere haben Priorität – der Jackpot ist meist mehr wert als ein schneller Multiball.
Black Knight: Sword of Rage Pro;Den Ball durch die blinkende obere Skillshot-Lane spielen. Super Skillshot: linken Flipper halten und direkt Flail, Rampe oder Shield treffen.;1. Das LIGHT LOCK-Target (rechts neben dem Schild) treffen. 2. Den Ball in den Shield Scoop schießen. 3. Diesen Ablauf dreimal wiederholen. 4. Danach startet automatisch die Triple Knights Challenge. 5. Im Multiball Spinner, Rampe und Shield Scoop für Jackpots spielen.;Keine Moduswahl – Triple Knights Challenge priorisieren.;–;Vor jedem Lock das LIGHT LOCK-Target treffen.;Shield Scoop (Loch hinter dem hochgefahrenen Schild).;Startet automatisch nach dem 3. Lock.;🔘 Action-Button (Magna-Save): Drücken, wenn der Ball Richtung linke Outlane läuft. Der Magna-Save kann den Ball retten und zurück ins Spiel ziehen.;Ist der Lock schwierig, lieber sichere Backhand-Schüsse auf den Shield Scoop spielen.;Shield Scoop und Flail-Schuss – Fehlschüsse enden häufig SDTM oder in der rechten Outlane.;Magna-Save nicht verschwenden – möglichst nur einsetzen, wenn der Ball tatsächlich die linke Outlane erreicht.
Gilligan's Island;Den Ball nach dem Abschuss ins Top Hole (Loch oben in der Mitte) schießen. Je nach Anzeige gibt es Kickback, Spot Ingredient oder Jungle Run-Punkte.;1. Die 7 Zutaten über Rampen, Targets und Orbits einsammeln. 2. Danach den VUK (Kickout rechts oben) treffen und den Lava Seltzer herstellen. 3. Anschließend die Jungle Run-Rampe (große linke Rampe) 5-mal spielen. 4. Danach liefert jede weitere Jungle-Run-Rampe hohe Punkte.;Keine Moduswahl vorhanden.;–;Kein klassischer Lock und kein regulärer Multiball vorhanden.;–;Kein regulärer Multiball.;–;Solange Lava Seltzer noch nicht bereit ist, konsequent Zutaten sammeln.;Banana-Target links neben der Jungle-Run-Rampe – Fehlschüsse laufen oft gefährlich zum rechten Flipper zurück.;Konsequent auf die Lava-Seltzer-Strategie spielen. Der zufällige Lagoon-Multiball ist nicht planbar.
Evel Knievel;Kein Skillshot vorhanden.;1. Die Drop-Targets in der Spielfeldmitte komplett treffen. 2. Danach die beleuchteten Bonus-Lanes oben nutzen. 3. Den Spinner im linken Orbit nur schießen, wenn sein Wert leuchtet. 4. Den Bonus möglichst hoch aufbauen und bis zum Ballende sichern.;Keine Moduswahl vorhanden.;–;Kein Lock und kein Multiball vorhanden.;–;Kein Multiball vorhanden.;–;Sind die Drop-Targets erledigt, den beleuchteten Spinner für hohe Punkte spielen.;Drop-Targets – harte Rückpraller kommen häufig direkt zwischen die Flipper zurück.;Ballkontrolle und Bonus priorisieren.
Jackpot;Den Ball nach dem Abschuss durch die blinkende obere Lane spielen.;1. Über Rollovers und Rampen die Buchstaben J-A-C-K-P-O-T sammeln. 2. Ist JACKPOT komplett, leuchtet der Lock. 3. Über die rechte Rampe den Ball locken. 4. Vorgang wiederholen. 5. Nach dem zweiten Lock den Casino-Scoop treffen – der Multiball startet.;Keine Modusauswahl vorhanden. Direkt den Multiball aufbauen.;–;Alle JACKPOT-Buchstaben vervollständigen. Nach jedem Lock erneut sammeln.;Rechte Rampe (rechts oben).;Casino-Scoop (oben Mitte).;–;Sind noch viele Buchstaben offen, lieber weiter Rampen und Rollovers spielen.;Casino-Scoop – Fehlschüsse landen oft schnell auf dem rechten Flipper.;Während des Multiballs fast nur die Rampen für Jackpots spielen.
KISS Pro;Standard: Ball durch die blinkende obere Lane. Super Skillshot: direkt den Demon-Shot (großer Kopf in der Mitte) treffen.;1. Die K-I-S-S-Drop-Targets links komplett treffen. 2. Lock leuchtet. 3. Ball ins Demon-Maul schießen. 4. Insgesamt 3 Locks sammeln. 5. God of Thunder Multiball startet automatisch.;🥇 God of Thunder. 🥈 Deuce.;Songs über den Demon bzw. die Song-Auswahl starten.;Nach jedem Lock erneut die K-I-S-S-Targets vervollständigen.;Demon-Maul (Mitte).;Startet automatisch nach dem 3. Lock.;🔘 Action-Button: Während eines Songs oder Multiballs drücken, wenn Love Gun bereit ist. Der Button sammelt sofort den aktuell leuchtenden Shot ein und eignet sich besonders für schwierige Demon-, Orbit- oder Rampenschüsse.;Wenn der Multiball noch weit entfernt ist, lieber Songs weiterspielen.;Demon-Maul – Fehlschüsse kommen oft direkt zwischen die Flipper zurück (SDTM).;Love Gun möglichst für schwierige Schüsse oder wertvolle Jackpots aufsparen.
Surf 'N Safari;Den Ball über die Pipeline (links oben) spielen. Zu harter Abschuss landet in den Popbumpern.;1. Das Bonus-Grid durch Pipeline, Rapids, Boomerang, Splash und Whirlpool aufbauen. 2. Sind die unteren drei Reihen oder die komplette Rapids-Spalte fertig, leuchtet LOCK. 3. Erneut die Pipeline schießen. 4. Der Multiball startet. 5. Danach die blinkenden Ziele treffen und Rapids für Jackpot und Super Jackpot spielen.;Keine Modusauswahl vorhanden.;–;Untere drei Reihen oder komplette Rapids-Spalte vervollständigen.;Pipeline (links oben).;Startet direkt nach dem Lock.;–;Ist LOCK noch weit entfernt, Bonus-Grid weiter aufbauen.;Pipeline – Fehlschüsse laufen oft über die Popbumper unkontrolliert zurück.;Schnell den Multiball starten und anschließend die Rapids-Jackpots spielen.
X-Men Pro;Den Ball so abschießen, dass er den Phoenix-Switch nicht berührt.;1. Die beiden LIGHT LOCK-Targets rechts treffen. 2. Dadurch leuchtet der Lock. 3. Den rechten Orbit (hinter Magneto) schießen und den Ball locken. 4. Insgesamt 3 Locks sammeln. 5. Danach startet Magneto Multiball automatisch.;🥇 Magneto Multiball priorisieren. 🥈 Sentinel nur, wenn er fast fertig ist. ❌ Hero- und Villain-Modi meist ignorieren.;Mode-Scoop (links).;LIGHT LOCK-Targets rechts treffen. Insgesamt 3 Locks.;Magneto-Orbit (rechter Orbit oben, Ball wird hinter Magneto gehalten).;Startet automatisch nach dem 3. Lock.;🔘 Action-Button: Nutzt die Magnet Save. Nur drücken, wenn der Ball bereits auf die linke Outlane zuläuft oder ein Drain sicher scheint. Nicht vorsorglich verwenden – die Ladung ist begrenzt.;Sind die Locks noch weit entfernt, lieber sichere Rampen und Orbits spielen.;Magneto-Orbit und Wolverine-Bash – harte Rückpraller möglich.;Der erste Magneto Multiball ist fast immer die beste Strategie. Hero- und Villain-Modi kosten meist zu viel Zeit.
Godzilla Pro;Standard: Ball durch die blinkende obere Lane. Super Skillshot: direkt die Bridge treffen.;1. Mehrfach die Bridge treffen, bis sie einstürzt. 2. Building öffnet sich. 3. Ball ins Building schießen und locken. 4. Zweiten Lock wiederholen. 5. Building Multiball startet automatisch.;🥇 Tokyo. 🥈 New York. ❌ Anspruchsvolle Kaiju- oder City-Modi vermeiden.;City-Auswahl über den Scoop (Mitte links).;Bridge zerstören. Danach sind 2 Locks möglich.;Building (oben Mitte hinter der Brücke).;Startet automatisch nach dem 2. Lock.;🔘 Action-Button: Aktiviert die Heat Ray. Am besten während eines Kaiju-Kampfes oder Multiballs einsetzen, um einen schwierigen Jackpot oder Kaiju-Treffer automatisch einzusammeln. Nicht früh verschwenden.;Ist die Brücke noch weit entfernt, lieber Rampen spielen.;Bridge – harte Rückpraller zur rechten Flipperseite oder SDTM.;Building Multiball zuerst anspielen. Heat Ray für wertvolle Schüsse oder gefährliche Situationen aufsparen.
Star Trek LE;Standard: Blinkende obere Lane treffen. Super: Direkt auf die Vengeance (großes Raumschiff in der Spielfeldmitte) schießen.;1. 3 Vengeance-Drop-Targets (Mitte) komplettieren. 2. Weg zur Vengeance öffnen. 3. Ball auf der Vengeance locken. 4. Insgesamt 3 Locks sammeln. 5. Vengeance Multiball starten.;🥇 Vengeance Multiball. 🥈 Missionen erst danach spielen.;Command Scoop (Loch links neben der Vengeance).;Die 3 Vengeance-Drop-Targets vollständig treffen. Nach jedem Lock erneut qualifizieren.;Vengeance (Mitte hinter den Drop-Targets).;Startet automatisch nach dem 3. Lock.;–;Sind noch viele Targets offen, lieber Rampen und Orbits weiterspielen.;Vengeance-Drop-Targets – harte Rückpraller können SDTM oder Richtung rechte Outlane laufen.;Vengeance Multiball zuerst holen – Missionen kosten auf Ball 1 oft zu viel Zeit.
Jurassic Park Premium;Standard: Blinkende Inlane treffen. Super: Direkt den Tower (oben Mitte) treffen.;1. Control Room (linke Rampe). 2. Truck (Mitte rechts). 3. Helipad. 4. Capture Shot. 5. Ersten Dinosaurier fangen. 6. Truck erneut treffen → CHAOS Multiball.;🥇 Ersten Dinosaurier fangen. 🥈 Danach einfache Paddocks spielen.;Control Room (linke Rampe).;Einen Dinosaurier vollständig fangen. Danach leuchtet CHAOS Multiball.;Kein klassischer Ball-Lock vorhanden.;Truck (Mitte rechts) treffen, sobald CHAOS Multiball leuchtet.;Truck Shift/Capture Assist: Nur bei schwierigen Capture Shots oder Truck-Schüssen verwenden.;Ist der Capture Shot schwierig, lieber Rampen weiterspielen und später erneut versuchen.;Truck / Capture Shot – harte Rückpraller häufig Richtung rechter Flipper oder SDTM.;CHAOS Multiball zuerst holen. Action-Button für schwierige Dino-Fänge aufsparen.
Flash Gordon;Kein Skillshot vorhanden.;1. Inline-Drop-Targets vervollständigen. 2. Obere Drop-Targets abräumen. 3. Bonus-X erhöhen. 4. Spinner nur bei hohem Wert spielen.;Keine Moduswahl vorhanden.;–;Kein Lock oder Multiball vorhanden.;–;–;–;Ist der Spinner nicht beleuchtet, weiter Drop-Targets spielen.;Inline-Drop-Targets – harte Rückpraller können direkt zwischen die Flipper laufen.;Bonus-X und Drop-Targets haben Vorrang. Spinner nur bei hohem Wert spielen.
Eight Ball;Kein Skillshot vorhanden.;1. Linke und rechte Drop-Targets treffen und Kugeln 1–7 vervollständigen. 2. Danach die 8-Ball (Target oben Mitte) treffen. 3. Bonus-X erhöhen. 4. Spinner nur bei Beleuchtung spielen.;Keine Moduswahl vorhanden.;–;Kein Lock oder Multiball vorhanden.;–;–;–;Sind noch Kugeln offen, zuerst die Drop-Targets vervollständigen.;8-Ball-Target (oben Mitte) – Rückpraller können direkt zwischen die Flipper laufen.;Immer zuerst Kugeln 1–7, danach die 8-Ball. Spinner nur bei hohem Wert spielen.
Mata Hari;Kein Skillshot vorhanden.;1. Die Inline-Drop-Targets (Mitte) komplettieren. 2. Danach die linken und rechten Drop-Targets abräumen. 3. Den Spinner (linker Orbit) nur spielen, wenn er beleuchtet ist. 4. Bonus-X und Bonus aufbauen.;Keine Modusauswahl vorhanden.;–;Kein Lock oder Multiball vorhanden.;–;–;–;Sind die Inline-Targets noch offen, diese immer zuerst spielen.;Inline-Drop-Targets – harte Abpraller kommen häufig direkt SDTM zurück.;Inline-Drop-Targets haben höchste Priorität. Spinner nur bei Beleuchtung spielen. Ballkontrolle bringt hier deutlich mehr als aggressive Schüsse.
TRON: Legacy LE;Standard: Ball durch die blinkende obere Lane. Super Skillshot: direkt die Quorra-Rampe (linke Rampe) treffen.;1. Die 3 Disc-Drop-Targets links komplett treffen. 2. Danach die Disc (rotierende Scheibe links der Mitte) treffen. 3. Anschließend die Gem (Target rechts der Mitte) treffen – jetzt leuchtet LOCK. 4. Den Ball in den ENCOM-Scoop (Loch oben rechts) schießen und locken. 5. Insgesamt 3 Locks sammeln. 6. Danach das Portal (Mitte unter dem Recognizer) treffen – der Light Cycle Multiball startet.;🥇 Keine Modi sofort starten. Erst den Light Cycle Multiball aufbauen. 🥈 Quorra spielen, wenn der Multiball noch weit entfernt ist.;Quorra über die linke Rampe, andere Modi über die entsprechenden leuchtenden Schüsse.;Die 3 Disc-Drop-Targets links komplettieren. Danach Disc → Gem treffen. Nach jedem Lock erneut wiederholen. Insgesamt 3 Locks.;ENCOM-Scoop (Loch oben rechts).;Portal (Mitte unter dem Recognizer) nach dem 3. Lock.;🔘 Action-Button: Aktiviert Gem. Am besten verwenden, wenn ein schwieriger Schuss (Disc, Quorra oder Jackpot) ansteht oder während des Multiballs für sichere Jackpots. Nicht direkt nach Ballstart verschwenden.;Ist der Lock noch weit entfernt, lieber Quorra-Rampe und sichere Rampen weiterspielen.;Disc und Gem – Fehlschüsse kommen oft sehr schnell direkt zwischen die Flipper zurück (SDTM).;Der erste Light Cycle Multiball ist fast immer der schnellste Weg zu vielen Punkten. Während des Multiballs zuerst Quorra-Rampe und Spinner für Jackpots spielen.
Wizard;Kein Skillshot vorhanden.;1. Die Drop-Targets links komplettieren. 2. Danach die Drop-Targets rechts abschießen. 3. Den Spinner (linker Orbit) nur spielen, wenn sein Wert beleuchtet ist. 4. Die oberen Rollovers vervollständigen. 5. Bonus-X und Bonus möglichst früh erhöhen.;Keine Modusauswahl vorhanden.;–;Kein Lock oder Multiball vorhanden.;–;–;–;Ist der Spinner nicht beleuchtet, konsequent die Drop-Targets weiterspielen.;Drop-Targets – harte Abpraller können den Ball unkontrolliert zur Mitte zurückwerfen.;Drop-Targets bringen die meisten Punkte und erhöhen den Bonus. Spinner nur bei Beleuchtung spielen. Ballkontrolle ist wichtiger als aggressive Schüsse.
Hurricane;Den Ball über die Hurricane-Rampe (linke Rampe) schießen. Das ist der Skillshot.;1. Mehrfach die Hurricane-Rampe (links) und das Ferris Wheel (Riesenrad rechts) spielen. 2. Nach 3 Treffern auf das Ferris Wheel leuchtet LOCK. 3. Erneut das Ferris Wheel treffen und den Ball locken. 4. Insgesamt 2 Locks sammeln. 5. Danach die Hurricane-Rampe schießen – der Multiball startet.;🥇 Keine Modusauswahl vorhanden. Direkt den Multiball aufbauen.;–;Das Ferris Wheel (rechts) insgesamt 3-mal treffen. Nach jedem Lock erneut.;Ferris Wheel (rechts oben im Riesenrad).;Hurricane-Rampe (linke Rampe) bei leuchtendem Multiball.;–;Sind die Locks noch weit entfernt, lieber weiter Hurricane-Rampe spielen.;Ferris Wheel – Fehlschüsse laufen oft gefährlich über den rechten Flipper Richtung Outlane.;Früh den Multiball holen. Während des Multiballs hauptsächlich die Hurricane-Rampe für schnelle Jackpots spielen.
Grand Slam;Den Ball nach dem Abschuss durch die obere rechte Einlaufbahn spielen und möglichst GRAND, SLAM oder HOMER mitnehmen.;1. Den Single-Gate (links Mitte) treffen. 2. Danach den Double-Shot (oben links mit dem oberen Flipper). 3. Die 6 Triple-Targets (oben Mitte) abschießen. 4. Sind die Bases geladen, auf den Home-Run (Targets neben den Popbumpern oben Mitte) spielen.;Keine Modusauswahl vorhanden.;–;Kein Lock oder Multiball vorhanden.;–;–;–;Sind die Bases noch nicht geladen, lieber weiter Singles, Doubles und Triples sammeln.;Home-Run-Targets und Base-Saucers – Rimm-Outs führen oft zu unkontrollierten Abprallern.;Nicht hektisch auf den Home Run schießen. Erst die Bases laden und dann den Home-Run-Schuss nutzen. Die oberen Flipper nur aus kontrollierter Balllage einsetzen.
